"parent_company","num_subsidiaries","total_technologies_across_subsidiaries","total_developer_activity","parent_tech_count","parent_developer_activity"
"Alphabet","1","3","973886701","0",NULL
"Amazon.com Inc","1","30","97435210","4","3575002"
